Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	5.16971	6.3463135	9.0	-6.3	8.88196	6.8518395	3.310261	12.503176	-8.54815	112000	-4.656613e-10	15.033514	-0.011453103	-2.2283332	0.6955731	0.01232822	0.125	54.0	1460.2722198963165
28	5.7474775	5.9987664	9.0	-6.0	9.153669	7.1679316	3.1085095	12.1387005	-8.0281105	116000	3.7252903e-09	13.026005	-0.005965588	-2.400637	0.69136274	0.01232343	0.1955	7.0	1516.3974854946136
29	5.6442657	6.0491095	9.0	-5.9	9.153669	7.3391185	3.0319843	14.537272	-6.9780064	120000	-7.450581e-09	13.266209	-0.013111368	-2.1841552	0.664094	0.01144039	0.1215	79.0	1571.0521483421326
30	5.4077983	6.1959834	9.0	-6.3	9.110092	7.353483	2.8680701	11.954659	-7.4880533	124000	1.8626451e-08	12.472331	-0.010241673	-1.7868485	0.68666244	0.0120593365	0.082499996	25.0	1620.5731925964355
31	5.6009197	6.0836086	9.0	-7.2	9.1632185	7.258635	3.0740016	12.925767	-8.930773	128000	0.0	14.076498	-0.014858268	-2.9454608	0.63540363	0.010309412	0.102249995	79.0	1679.1544170379639
32	5.861201	5.9151754	9.0	-6.0	9.1709	7.465364	2.8474016	13.03183	-7.2983756	132000	0.0	11.948522	-0.010295366	-1.7324879	0.5934229	0.0054289177	0.084750004	79.0	1737.3778088092804
33	6.1138496	5.7290683	9.0	-6.1	9.284038	7.5478344	2.78224	11.87094	-9.104139	136000	-9.313226e-10	11.012577	-0.010959131	-1.8968775	0.55747795	0.012015047	0.06775001	63.0	1802.6067543029785
34	6.4155297	5.485188	9.0	-5.9	9.374118	7.7216115	2.638035	13.915726	-6.625669	140000	-3.1664968e-08	9.59481	-0.010160629	-1.5629206	0.5376529	0.0041257143	0.07975	79.0	1865.7418138980865
35	6.203963	5.6532893	9.0	-6.1	9.289044	7.8700094	2.5360856	11.961891	-7.714895	144000	1.3504177e-08	10.006134	-0.010339967	-1.9661881	0.5307345	0.004597607	0.087	79.0	1926.6963713169098
36	6.353051	5.5296516	9.0	-5.9	9.356808	7.727248	2.6553645	12.948867	-8.113741	148000	9.313226e-10	9.525669	-0.007926747	-1.7618428	0.5059457	0.0060166535	0.08625	79.0	1986.7482750415802
37	6.3728776	5.5273333	9.0	-6.0	9.384434	7.8409276	2.5102532	12.028766	-7.9012012	152000	3.7252903e-09	11.009833	-0.011022328	-2.0607805	0.5277051	0.0068771117	0.0975	79.0	2042.0985383987427
38	6.876923	5.036988	9.0	-5.7	9.596154	7.8159785	2.445755	17.506124	-6.980061	156000	-3.7252903e-09	7.8631105	-0.008439592	-1.9533992	0.49106708	0.009152809	0.07025	79.0	2098.3512151241302
39	6.0302544	5.7904506	9.0	-5.9	9.212471	7.999931	2.4675674	12.538635	-8.609308	160000	0.0	11.674759	-0.009689685	-2.7302775	0.48227134	0.008134497	0.07075	79.0	2160.237746477127
40	6.360421	5.5364666	9.0	-5.8	9.346604	7.7448597	2.7101781	14.660273	-7.6760964	164000	-9.313226e-09	10.04768	-0.0099424645	-2.1565225	0.4581927	0.0056565227	0.063	79.0	2216.2527787685394
41	5.967442	5.8289905	9.0	-6.2	9.27907	7.7530355	2.6853158	13.646244	-6.9517694	168000	-3.7252903e-09	10.7515545	-0.008943977	-2.1957107	0.43612072	0.00710003	0.074	79.0	2279.1913843154907
42	5.699772	6.011821	9.0	-6.1	9.098173	7.5010867	2.9497142	11.948053	-9.146864	172000	1.1175871e-08	10.7820635	-0.009381463	-1.9848197	0.43280452	0.006664206	0.0765	79.0	2336.827857732773
43	6.639225	5.274376	9.0	-5.9	9.636804	7.7295256	2.7180378	14.630616	-7.085238	176000	7.450581e-09	9.759008	-0.0116177285	-2.360418	0.3977872	0.005531935	0.0825	79.0	2387.748485803604
44	6.674645	5.2532454	9.0	-6.0	9.438389	7.9422884	2.4939294	12.614796	-7.78778	180000	5.5879354e-09	8.777016	-0.009742757	-2.7317939	0.38785377	0.004768566	0.052500002	79.0	2440.351678133011
45	6.64539	5.277838	9.0	-6.2	9.432624	8.000273	2.5180895	12.5061655	-9.414947	184000	-3.7252903e-09	8.661857	-0.007827883	-2.553633	0.3688126	0.0064560045	0.051749997	79.0	2491.6622216701508
46	6.665558	5.255801	9.0	-5.8	9.472684	7.986368	2.5270848	12.149268	-11.163644	188000	0.0	9.121452	-0.008075439	-2.7757893	0.36787876	0.009473423	0.062	79.0	2543.568999528885
47	6.726651	5.1982875	9.0	-5.7	9.384434	7.952117	2.5780985	13.558777	-7.2192736	192000	6.9849193e-10	7.086667	-0.0073130545	-1.8503344	0.3407868	0.0044017076	0.04925	79.0	2594.747965812683
48	7.058894	4.862288	9.0	-5.7	9.579327	8.222069	2.3468516	13.708558	-11.298959	196000	9.313226e-09	7.0044804	-0.008638956	-1.8962266	0.3408594	0.0023722067	0.07925	79.0	2644.983874797821
49	6.3641686	5.5170293	9.0	-5.8	9.309134	8.100139	2.4237103	11.95009	-9.555229	200000	6.2864274e-09	8.880869	-0.0065790266	-2.4641323	0.3329091	0.012399372	0.081499994	17.0	2695.997672557831
