Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	6.94806	4.7845635	9.0	-5.9	11.862686	7.94477	2.1682234	14.597267	-9.712097	112000	1.4901161e-08	10.144821	-0.008175239	-1.754669	0.47988853	0.016797967	0.163	11.0	3567.1943752765656
28	7.6317506	3.8558943	9.0	-5.9	11.813056	7.827981	2.0837507	13.358358	-6.620529	116000	-6.519258e-09	6.8504467	-0.0064621726	-1.6315606	0.44220242	0.013872496	0.1465	9.0	3705.2116837501526
29	7.875075	3.4758382	9.1	-5.9	11.9399395	8.149006	1.7370456	11.615421	-3.046139	120000	-1.0244548e-08	6.4456086	-0.009143731	-1.3889443	0.4103439	0.012144232	0.09550001	33.0	3863.69815993309
30	7.771302	3.6815674	8.9	-6.1	11.784023	8.26944	1.5643228	11.347175	-6.70268	124000	9.313226e-10	6.574171	-0.0037789312	-1.2491703	0.39696446	0.012822914	0.1255	5.0	3996.5492067337036
31	7.955059	3.3024933	8.9	-5.9	11.818453	8.215734	1.7621082	11.7759	-10.942183	128000	-1.8626451e-09	6.0218787	-0.004535786	-1.6153536	0.38487008	0.012430929	0.09825	7.0	4130.974660396576
32	7.9697604	3.288414	9.0	-6.0	11.919162	8.329787	1.5443791	15.45229	-8.690616	132000	3.7252903e-09	5.152862	-0.005551357	-1.0109894	0.38824102	0.013253594	0.16275	10.0	4281.965430736542
33	7.5869436	3.9612603	8.9	-6.0	11.816024	8.281308	1.7214643	12.448245	-5.805287	136000	-1.1175871e-08	7.3405476	-0.0056710197	-1.9697685	0.36883324	0.013174128	0.10375	8.0	4426.687517881393
34	8.043751	3.1782684	8.9	-5.9	11.824405	8.283269	1.6618024	11.692929	-5.061282	140000	-7.450581e-09	4.277195	0.00017571542	-0.8174751	0.36084652	0.01701609	0.116	3.0	4571.948451280594
35	7.992192	3.2205794	9.0	-5.9	11.96997	8.36925	1.6614206	12.688349	-10.019926	144000	-6.9849193e-09	5.1712856	0.0024344926	-1.0276964	0.3510507	0.012569133	0.1535	3.0	4729.628604888916
36	8.245563	2.6568756	9.0	-5.9	11.775148	8.456788	1.242562	12.350676	-5.4533587	148000	1.3038516e-08	3.1827188	-0.0012373105	-0.8698417	0.3439088	0.01269451	0.15675	4.0	4860.873581647873
37	7.8124623	3.5973234	9.0	-6.1	11.78635	8.445516	1.5719022	12.3865385	-8.254041	152000	8.381903e-09	5.7478423	-0.0035311473	-1.3471959	0.33254194	0.012531659	0.117	10.0	5004.163947343826
38	8.261862	2.70552	9.0	-5.9	11.975976	8.279216	1.7346991	12.2051525	-7.187755	156000	-3.7252903e-09	3.929603	-0.0090042	-1.2515042	0.31635904	0.007746599	0.073	79.0	5142.518874645233
39	8.138856	2.9510207	8.9	-5.9	11.98494	8.540941	1.1935372	15.097278	-1.3633802	160000	-1.8626451e-09	4.9617743	-0.00074068736	-1.3368486	0.31638682	0.01606902	0.13125	1.0	5279.734498977661
40	8.074631	3.1632485	9.0	-5.9	11.731564	8.418641	1.4519111	15.995261	-7.802034	164000	-7.450581e-09	4.8224616	-0.0019638822	-1.586812	0.3232429	0.013344301	0.16425	8.0	5435.515194416046
41	8.416217	2.2678273	9.0	-6.1	11.933934	8.40717	1.4802629	12.434353	-4.720108	168000	5.5879354e-09	3.9361892	-0.007300377	-1.120453	0.32248563	0.012245204	0.09275	33.0	5599.070880413055
42	8.446061	2.1434324	9.0	-5.9	12.054545	8.597358	1.0334841	11.992912	-1.9002047	172000	7.450581e-09	3.5557048	-0.005367203	-1.6771772	0.3266719	0.012441059	0.0985	9.0	5744.849278926849
43	8.262501	2.715743	9.0	-6.0	11.869047	8.652488	1.2179857	12.199611	-7.8167715	176000	4.656613e-09	4.330343	-0.0026983486	-1.2743049	0.32695752	0.015097632	0.1425	6.0	5895.466882228851
44	8.209145	2.744972	9.0	-5.9	11.713864	8.517555	1.3687495	15.863125	-4.8461385	180000	3.7252903e-09	4.2509756	-0.003213141	-1.2055659	0.33652288	0.014576983	0.1195	4.0	6047.357807636261
45	8.366269	2.4685175	9.0	-5.9	11.859701	8.524608	1.2535052	13.612741	-10.285345	184000	0.0	2.939883	-0.0022592917	-0.9171435	0.34746343	0.015144229	0.13624999	3.0	6191.69305562973
46	7.8684363	3.5096211	9.0	-5.9	11.728614	8.563506	1.2670033	11.416408	-4.600478	188000	-3.7252903e-09	5.5052905	-0.008953031	-1.7469099	0.355547	0.007264213	0.084	79.0	6343.431949853897
47	8.336637	2.499329	9.0	-5.9	11.978979	8.37355	1.6468852	12.089061	-6.008177	192000	0.0	4.195153	-0.005071548	-1.2884636	0.33919162	0.01264059	0.1505	3.0	6487.359748840332
48	8.375914	2.3676295	9.0	-5.9	12.125	8.649041	1.129989	12.495717	-3.052118	196000	2.7939677e-09	2.766211	-0.0024702125	-1.2754914	0.34707287	0.012515772	0.12525	6.0	6631.551007509232
49	8.544579	1.7995485	9.0	-5.9	11.993976	8.609896	1.2429248	11.878591	-5.8435016	200000	-2.7939677e-09	2.0650582	-0.0031587253	-0.79597026	0.35046554	0.0120991785	0.10975	7.0	6773.121734380722
50	8.537238	1.9187225	9.0	-5.9	11.924925	8.706608	0.9950369	13.238472	-2.615041	204000	2.7939677e-09	1.4228772	-0.007026797	-0.4443199	0.34648907	0.0077583315	0.0915	79.0	6915.925495624542
51	8.3727	2.4534047	9.0	-5.9	11.821959	8.696626	1.0901794	12.478361	-5.311057	208000	-5.122274e-09	2.634048	-0.0012748701	-0.5976026	0.35103154	0.015686542	0.1415	6.0	7059.820128440857
52	8.133431	2.9903655	9.0	-6.1	11.627566	8.574834	1.1848161	12.102484	-0.7823298	212000	2.0489097e-08	4.1060553	-0.003971397	-0.5915682	0.35632598	0.021639785	0.16125	2.0	7200.6980402469635
53	8.154491	2.9337437	9.0	-5.9	11.868263	8.507202	1.1251293	11.253559	-3.0602407	216000	7.450581e-09	4.407514	-0.00376919	-1.437525	0.3418775	0.012054432	0.078	6.0	7335.518310070038
54	8.240653	2.7301335	9.0	-6.0	11.807121	8.445689	1.4112021	11.322668	-5.3503633	220000	-1.8626451e-09	4.482874	-0.0010456025	-1.3724878	0.33509374	0.019953258	0.15175	3.0	7448.779446601868
55	8.10994	3.0415976	8.9	-5.9	11.972892	8.450701	1.3839277	11.8166065	-5.8113	224000	-3.7252903e-09	4.6380863	-0.0022013457	-1.400137	0.3292722	0.016689744	0.12875	6.0	7562.569184064865
56	8.414414	2.2365992	8.9	-5.9	11.951952	8.522407	1.2902117	15.198047	-5.549588	228000	1.6763806e-08	2.356681	-0.00062815193	-0.97125655	0.32932627	0.01445201	0.12725	3.0	7676.157536506653
57	8.476737	2.1060915	9.0	-6.0	12.060423	8.597902	1.1665239	14.773528	-5.2064347	232000	0.0	3.0914598	-0.0041704616	-1.1776727	0.31139648	0.012126423	0.1105	9.0	7790.633918762207
58	8.551951	1.8092448	9.0	-5.9	11.927928	8.697175	1.0065408	12.08153	-4.0735106	236000	-1.8626451e-09	1.9031063	-0.005518051	-0.7612165	0.30375212	0.012380932	0.080749996	25.0	7904.795644283295
59	8.655857	1.3900561	8.9	-5.8	11.9399395	8.691339	0.999245	17.734735	-3.3609712	240000	7.450581e-09	1.2610537	-0.0042210757	-0.53760636	0.3030817	0.013994341	0.11475	17.0	8018.4429252147675
60	8.608708	1.6204816	9.0	-5.9	11.960961	8.748315	0.92921096	13.468074	-3.9885182	244000	-1.8626451e-09	1.5883559	-0.0014577417	-0.88287044	0.2965985	0.015162354	0.096	3.0	8131.911600351334
61	8.554192	1.8057702	9.0	-5.9	11.913174	8.693863	1.0590714	11.2988615	-10.481207	248000	-1.1175871e-08	2.0370436	-0.002832055	-0.58983386	0.30627397	0.013169132	0.1155	7.0	8244.99923825264
62	8.292857	2.6213424	9.0	-6.0	11.863095	8.673517	1.1075689	12.943011	-7.1555715	252000	-1.4901161e-08	3.85281	-0.004927431	-1.123868	0.31014317	0.015010928	0.1065	20.0	8359.206219911575
