Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	5.324	6.2022543	9.0	-6.0	10.626667	6.191495	3.828853	13.746291	-10.848935	112000	3.7252903e-09	16.030643	0.0108037535	-2.5244584	0.5089822	0.012873573	0.14375001	1.0	4736.356001377106
28	4.6071997	6.5981836	9.0	-5.9	10.5946665	6.2796874	3.6911702	13.352918	-11.0420685	116000	-1.4901161e-08	19.309963	-0.00071338145	-3.1191945	0.50316584	0.012111234	0.10625	2.0	4843.366371393204
29	5.5085106	6.1170526	9.0	-5.9	10.606383	6.250572	3.738841	11.635015	-10.134608	120000	1.8626451e-09	16.784252	0.008179652	-4.2321396	0.5047802	0.018273115	0.17025	3.0	4954.129500865936
30	5.2745943	6.272248	9.0	-6.0	10.767568	6.4433203	3.642085	12.481073	-7.9909143	124000	-3.7252903e-09	18.339148	0.002649433	-2.9780734	0.49902052	0.02233948	0.2105	6.0	5063.123794555664
31	5.0960526	6.3522196	9.0	-5.9	10.486842	6.3549657	3.6523106	12.0747795	-8.98379	128000	-7.450581e-09	15.952904	0.009497534	-2.7559383	0.48991805	0.019930206	0.13499999	3.0	5172.429003238678
32	5.248907	6.263158	9.0	-6.0	10.898907	6.290017	3.578518	12.16499	-8.277926	132000	-1.3038516e-08	18.664455	0.0010233035	-3.4961896	0.47452986	0.013698577	0.166	6.0	5280.486856222153
33	5.0831995	6.3580217	9.0	-5.9	10.634666	6.34001	3.7355459	12.66819	-10.692903	136000	1.0244548e-08	15.81122	0.009241695	-2.6820579	0.4456542	0.015969902	0.14025	1.0	5388.80228304863
34	5.0724673	6.3768225	9.0	-6.0	10.314285	6.609522	3.648624	13.234959	-8.964361	140000	-1.3969839e-08	13.7951975	0.00925945	-2.724915	0.44872203	0.015376106	0.17375	3.0	5498.494132757187
35	5.233245	6.2915163	9.0	-5.9	10.566489	6.435717	3.926764	14.949126	-11.308731	144000	0.0	15.180672	0.003346506	-2.544497	0.45423955	0.012730485	0.1195	5.0	5607.934465646744
36	4.688298	6.5801826	9.0	-6.0	10.563829	6.106167	4.095814	13.084727	-11.772819	148000	1.3038516e-08	17.265213	0.0032585075	-3.590403	0.42111373	0.01701137	0.15325	6.0	5716.873663663864
37	5.625469	6.0253015	9.0	-6.0	10.635388	6.326028	3.8537595	13.086351	-9.512947	152000	1.1175871e-08	14.931241	0.00079953845	-4.7097473	0.4252922	0.0136171905	0.096750006	10.0	5827.579466819763
38	5.7118425	5.988009	9.0	-6.0	10.513158	6.81935	3.8034742	12.204688	-15.875932	156000	-6.519258e-09	14.392075	-0.002014689	-2.9046679	0.42014778	0.012877335	0.120000005	20.0	5937.109649419785
39	5.1367188	6.347619	9.0	-6.3	10.3515625	6.7531586	3.6967177	12.470335	-9.267243	160000	3.7252903e-09	14.329842	0.0061199986	-3.0677133	0.4268148	0.014154367	0.149	5.0	6046.619666337967
40	5.01618	6.405202	9.0	-6.0	10.580902	6.253382	4.2028804	16.565624	-9.732385	164000	2.0489097e-08	16.74044	-0.0018644654	-3.5853302	0.40438417	0.013225343	0.092250004	10.0	6154.395379543304
41	5.486059	6.120056	9.0	-6.0	10.689008	6.4224367	3.9027996	13.535986	-12.07527	168000	3.7252903e-09	12.793178	-0.0076169777	-2.4830515	0.39333797	0.012099985	0.0815	75.0	6263.4163064956665
42	4.886911	6.473509	9.0	-5.9	10.424084	6.298703	4.0620656	16.149494	-11.039314	172000	3.7252903e-09	16.032934	-0.008032405	-3.3904948	0.3937077	0.007018384	0.048	79.0	6372.957129716873
43	5.812903	5.902874	9.0	-5.9	10.688172	6.599451	3.6786435	14.743747	-10.707776	176000	1.8626451e-09	16.312643	-0.0018931362	-4.3829546	0.40637922	0.015061958	0.148	8.0	6480.893396615982
44	6.3204308	5.509563	9.0	-6.0	10.72043	7.041427	3.1991212	14.945579	-9.007908	180000	-2.0489097e-08	14.662019	0.0016651936	-4.321555	0.40135854	0.01564268	0.1375	6.0	6588.676525115967
45	5.2566133	6.280264	9.1	-6.0	10.5291	6.896484	3.3858147	13.948663	-8.038112	184000	0.0	15.950048	-0.0010474809	-4.5121145	0.35557947	0.012040073	0.10425	50.0	6697.489686489105
46	5.7607427	5.9485593	9.0	-6.0	10.562334	6.6861844	3.6841753	12.870294	-11.9123535	188000	-2.3283064e-09	14.529737	-0.0067444067	-3.7382994	0.35260516	0.0064841295	0.05325	79.0	6806.27609038353
47	5.872074	5.8775167	9.0	-5.9	10.561171	7.0143023	3.6770837	12.491116	-13.451464	192000	2.7939677e-09	11.726154	-0.0063173473	-2.7609758	0.35505462	0.0034381212	0.055749997	79.0	6916.352206707001
48	6.0221934	5.7495794	9.0	-6.0	10.63369	7.0699477	3.4496315	14.931339	-11.622925	196000	-1.8626451e-09	12.786357	-0.0054279203	-3.3777723	0.34281778	0.0050594723	0.042	79.0	7024.540126085281
49	6.4856353	5.334249	9.0	-6.0	10.972376	7.161254	3.359054	12.53378	-10.227859	200000	-6.9849193e-09	10.8057	0.001060534	-2.9557867	0.34229657	0.016477799	0.06275	2.0	7132.532826662064
50	5.646809	6.031367	9.0	-5.9	10.553191	7.149758	3.289992	16.070496	-10.3953705	204000	0.0	14.338932	-0.0038351258	-4.2440696	0.3358806	0.005584999	0.07775	79.0	7242.245503664017
51	6.2894597	5.5382524	9.0	-6.0	10.754054	6.8325343	3.6617787	11.98112	-16.366926	208000	-1.4901161e-08	11.393685	-0.0012454265	-3.6957164	0.33350194	0.012790255	0.113749996	10.0	7351.338061332703
52	6.5035725	5.3374343	9.0	-6.1	10.925824	7.328311	3.2862034	12.346221	-11.707604	212000	-6.519258e-09	10.044159	-0.0056965663	-2.8242953	0.32483736	0.00419996	0.061499998	79.0	7460.741711854935
53	6.651782	5.2239256	9.0	-6.0	10.879452	7.358877	3.2990365	12.812345	-13.052636	216000	1.8626451e-09	10.4602165	-0.003811641	-2.964678	0.32155788	0.012474901	0.041500002	26.0	7570.770094633102
54	6.17285	5.631606	9.0	-5.9	10.717742	7.4110785	3.069802	12.374514	-10.55896	220000	-1.1175871e-08	11.340975	-0.008259812	-3.2763386	0.32096577	0.006890683	0.057499997	79.0	7681.599200487137
55	6.0072203	5.7753096	9.0	-5.9	10.649733	7.017913	3.6599257	12.429662	-10.43624	224000	1.1175871e-08	10.428038	0.002646058	-3.175506	0.33010143	0.014412185	0.10475	17.0	7791.01521229744
56	6.433964	5.4097624	9.0	-6.0	10.727763	7.1134663	3.7654843	16.088024	-15.989399	228000	-2.3283064e-09	11.314568	0.0027857833	-3.8519754	0.34493792	0.012795379	0.12975001	6.0	7899.204548358917
57	6.1397295	5.653333	9.0	-6.0	10.764865	7.2579203	3.3797414	17.454218	-9.956784	232000	1.8626451e-09	11.574181	0.008732943	-3.280708	0.34382355	0.019754145	0.11175	1.0	8008.977892637253
58	6.538718	5.2986283	9.0	-5.9	11.075209	7.093171	3.4161007	15.879457	-12.35644	236000	0.0	12.787214	-0.0040482413	-3.8728983	0.34271148	0.0045633917	0.044749998	79.0	8119.927723407745
59	5.9098363	5.829496	9.0	-6.0	10.846994	7.2769866	3.1223276	22.136011	-10.014911	240000	5.5879354e-09	13.3713	0.007355593	-4.2368	0.34345427	0.013579312	0.105749995	1.0	8228.390449285507
60	5.85	5.89503	9.0	-5.9	10.547619	6.679852	3.7563488	13.667396	-14.008097	244000	1.8626451e-09	13.577734	-0.0003495966	-4.0774508	0.3474314	0.013227182	0.1295	16.0	8337.330739736557
61	6.215385	5.5717087	9.0	-6.0	10.923077	6.9576964	3.8290694	12.397758	-22.757488	248000	-1.8626451e-09	11.546095	-0.0008482485	-4.2671003	0.32533345	0.012188636	0.14575	29.0	8446.640754461288
62	5.6061654	6.049793	9.0	-5.9	10.69437	7.0280733	3.595076	19.743778	-9.524217	252000	-1.7695129e-08	12.651597	-0.005211978	-4.1060324	0.33332652	0.012283277	0.13300002	79.0	8555.271043300629
63	6.620166	5.212841	9.0	-6.0	11.008287	6.972804	3.6388023	13.784887	-12.474869	256000	2.7939677e-09	12.25223	0.012317544	-4.4132085	0.31646952	0.016233273	0.106000006	3.0	8662.494805335999
64	6.154294	5.615401	9.0	-6.3	11.033241	7.23283	3.2004735	12.202492	-8.688215	260000	9.313226e-09	13.820917	0.0015924284	-4.907241	0.30577493	0.012127037	0.08400001	3.0	8771.164494752884
65	6.4591784	5.3854094	9.0	-5.9	10.887671	7.265799	3.4251401	14.645424	-12.691236	264000	4.1909516e-09	11.448178	-0.005457488	-4.2091827	0.30313253	0.0048477743	0.060999997	79.0	8879.802218675613
66	6.034417	5.7233443	9.0	-6.0	10.794038	7.003749	3.5143065	13.769932	-13.8018875	268000	-3.7252903e-09	13.180822	-0.0059636757	-4.036456	0.29855317	0.003808109	0.048	79.0	8989.25832939148
67	6.198361	5.6081567	9.0	-6.2	10.830601	7.0757704	3.4184537	16.372555	-9.993764	272000	0.0	11.014166	0.008137876	-3.8475919	0.2847931	0.019404557	0.1155	8.0	9096.973643541336
68	5.963564	5.809866	9.0	-5.9	10.577127	7.2461395	3.4229865	16.331402	-12.814198	276000	-9.313226e-09	11.4201565	0.0054608327	-4.1639204	0.26925525	0.023442829	0.0755	3.0	9206.105105638504
69	6.696399	5.1709785	8.9	-6.3	11.01385	6.875695	3.9188635	15.574883	-12.897146	280000	1.0244548e-08	14.588856	0.006482464	-5.9378595	0.27762613	0.013410807	0.087	4.0	9314.552752017975
70	6.10137	5.6795835	9.0	-6.0	10.90411	7.284348	2.9488447	12.332295	-8.18726	284000	-3.259629e-09	12.8977165	0.0008268603	-4.525838	0.26801804	0.01213439	0.078999996	2.0	9423.896914482117
71	6.434067	5.384455	9.0	-6.0	10.934066	6.991579	3.6201544	15.623333	-10.21894	288000	3.7252903e-09	11.766275	0.0129926605	-3.9973223	0.28029346	0.024642851	0.10425	1.0	9531.556936740875
72	6.542319	5.3212094	9.0	-6.0	10.722372	7.385758	3.1576698	12.662156	-12.777328	292000	6.9849193e-10	11.070897	0.008849023	-3.3682466	0.2780094	0.01775275	0.117750004	3.0	9642.16055893898
73	6.0161724	5.7710505	9.0	-6.0	10.727763	7.4278107	3.1198559	13.620939	-10.343165	296000	9.313226e-09	12.502783	0.012967161	-4.3609695	0.27100432	0.017898932	0.09825	2.0	9749.960837841034
74	5.992	5.782303	9.0	-6.0	10.613334	6.725033	4.1015673	17.47757	-16.122807	300000	1.8626451e-09	12.279554	0.0036649187	-4.5856943	0.27025294	0.02591827	0.106	3.0	9857.762284994125
75	6.8721	4.965073	9.0	-6.0	10.975138	7.3599586	3.2293234	13.766748	-8.690284	304000	1.2572855e-08	10.06757	0.0026735966	-4.0338435	0.26426518	0.020548815	0.1045	1.0	9966.524113416672
76	6.308034	5.5007195	9.0	-6.0	11.01939	7.2732706	3.308225	17.957489	-10.02032	308000	0.0	12.505018	0.0047986796	-4.7113523	0.25486407	0.014176803	0.068749994	2.0	10073.534826040268
77	6.2686653	5.54107	9.0	-5.9	10.8828335	7.131563	3.5384293	13.20575	-8.97357	312000	1.094304e-08	13.544367	0.014905791	-5.0301285	0.27028376	0.018857958	0.09975	1.0	10181.894167661667
78	6.0816493	5.7057366	9.0	-6.0	10.593085	7.5166473	2.974535	13.9623995	-7.1166863	316000	0.0	12.602774	0.0073065204	-4.7568674	0.27413458	0.015739668	0.121999994	6.0	10289.105811357498
