Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	7.709877	4.707996	9.5	-5.6	5.4801097	8.222629	2.3800597	12.3106985	-7.9957376	112000	-6.519258e-09	10.176746	-0.008374214	-0.81010866	0.38968864	0.006972583	0.05325	79.0	1686.625803232193
28	7.75956	4.6824694	9.5	-5.6	5.485557	8.254361	2.3923182	12.877455	-8.0310335	116000	-7.450581e-09	10.177891	-0.008538746	-0.7256198	0.3795901	0.00741601	0.06725	79.0	1756.4519212245941
29	7.799323	4.600691	9.5	-5.6	5.407859	8.352486	2.32646	11.797537	-9.6705265	120000	-8.6729415e-09	8.457106	-0.0061290497	-0.8389373	0.35186142	0.007877171	0.056500003	79.0	1824.8737938404083
30	7.897794	4.4906793	9.5	-5.6	5.5048275	8.507324	2.1505516	12.087667	-6.5336404	124000	3.7252903e-09	9.912636	-0.0071686013	-0.9248576	0.3461625	0.003038865	0.063	79.0	1892.7185020446777
31	7.8643837	4.545571	9.5	-5.5	5.4657536	8.33451	2.2283762	11.1481695	-7.246183	128000	-1.1175871e-08	9.528559	-0.006451043	-0.86249256	0.35240677	0.007466904	0.078999996	79.0	1953.7530534267426
32	7.910929	4.4951053	9.5	-5.7	5.453552	8.466198	2.1721964	11.223246	-7.091462	132000	6.519258e-09	9.3812275	-0.008009701	-0.8627355	0.34329033	0.0067655346	0.073	79.0	2018.355839729309
33	8.110339	4.2216997	9.5	-5.5	5.427211	8.447552	2.1449773	11.560875	-7.2046757	136000	-2.7939677e-09	7.136828	-0.007401998	-0.9870908	0.3472061	0.005622059	0.06125	79.0	2072.0571999549866
34	7.663244	4.7904296	9.5	-5.6	5.3945947	8.550124	2.342191	12.04724	-8.077495	140000	1.3038516e-08	9.669277	-0.008306679	-1.2131509	0.36117524	0.0063807657	0.066750005	79.0	2125.450569629669
35	7.7979593	4.6305327	9.5	-5.9	5.4217687	8.317043	2.4847436	12.123172	-7.90731	144000	-3.7252903e-09	8.97176	-0.008693822	-0.98866594	0.35571238	0.004099178	0.073	79.0	2178.9560499191284
36	8.009656	4.345657	9.5	-5.6	5.489655	8.463477	2.2222233	11.921972	-8.980439	148000	1.1175871e-08	8.740868	-0.0060789334	-0.96201646	0.35233694	0.004208428	0.04775	79.0	2232.6347482204437
