Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	7.42665	4.474788	9.0	-5.8	10.124366	7.814195	3.325711	10.554772	-7.2081795	112000	-3.7252903e-09	4.349887	-0.0049454165	-0.6020101	0.23566604	0.0059243357	0.03175	79.0	3819.139443874359
28	7.169018	4.772441	9.0	-5.8	10.047859	7.906838	3.3099587	13.427591	-7.438313	116000	5.5879354e-09	4.7232656	-0.0033374522	-0.5882031	0.22370586	0.012003288	0.068749994	63.0	3939.7864458560944
29	6.638367	5.34934	9.0	-5.8	9.85396	7.6494527	3.5789845	11.496896	-7.7424173	120000	0.0	5.8413143	-0.0043668076	1.4888966	0.20805392	0.012088493	0.065249994	34.0	4082.8610389232635
30	7.0875316	4.884174	9.0	-5.8	9.922693	7.623446	3.205895	11.02695	-8.454751	124000	1.8626451e-09	7.408947	-0.005038202	-1.8253169	0.21461555	0.0032738266	0.037249997	79.0	4238.729230165482
31	6.735892	5.2469816	9.0	-5.8	9.868812	7.4955773	3.5944817	11.165913	-14.314642	128000	5.5879354e-09	6.1113467	-0.0037013786	-0.8928784	0.1980927	0.00627078	0.03775	79.0	4387.75443816185
32	7.1735663	4.759754	9.0	-5.7	9.935163	7.84575	3.1246197	10.913185	-9.09309	132000	-1.7695129e-08	4.7122517	-0.0064942734	-0.7371129	0.22235101	0.0066478215	0.049000002	79.0	4542.337016820908
33	7.0473948	4.914733	9.1	-5.8	9.923077	7.6528926	3.6750193	11.593994	-15.393566	136000	3.7252903e-09	6.1521044	-0.0043940064	-0.80042124	0.22053236	0.0070625646	0.053	79.0	4690.359547615051
34	7.2120304	4.734262	9.0	-5.9	9.9599	7.812396	3.294316	11.052155	-7.697667	140000	9.313226e-09	5.3319845	-0.0055186795	-0.6109757	0.2302446	0.008521467	0.0735	79.0	4841.738502502441
35	7.248622	4.6892285	9.0	-5.8	9.969925	7.897883	3.0258694	13.085681	-7.803987	144000	2.7939677e-09	5.9104776	-0.0022835531	-0.50381035	0.23471995	0.012238288	0.07275	7.0	4995.833844900131
36	7.2359104	4.7125773	9.0	-5.8	9.935163	7.673084	3.4304006	11.570341	-9.10013	148000	-7.450581e-09	4.250415	-0.005368363	-0.5120065	0.24182895	0.0030001546	0.05925	79.0	5144.710962057114
37	7.3627205	4.559776	9.0	-5.9	10.0	7.947371	3.0848312	14.175893	-9.44762	152000	-1.8626451e-09	5.556273	-0.005241139	-0.57615495	0.21861744	0.0054533537	0.0405	79.0	5298.143028974533
38	7.189082	4.788788	9.1	-5.8	9.870968	7.907151	3.0576792	10.842609	-7.7749257	156000	-5.5879354e-09	4.613839	-0.0051935557	-0.69358295	0.20889255	0.0027261288	0.03375	79.0	5461.102308511734
39	7.405	4.496951	9.0	-5.8	9.95	7.810925	3.314315	11.510868	-8.948575	160000	-5.5879354e-09	4.8562107	-0.00408222	-0.6323845	0.18449883	0.01074497	0.05525	79.0	5619.897648096085
40	7.2616553	4.677553	9.0	-5.8	9.964912	7.940231	2.9839776	11.169028	-6.706698	164000	-1.1175871e-08	4.8320074	-0.005149033	-0.5962785	0.20521587	0.002937166	0.03825	79.0	5757.74889755249
41	7.0786605	4.9099073	9.0	-5.8	9.858561	7.804836	3.351636	11.076204	-8.190761	168000	-6.9849193e-10	4.022269	-0.006500001	-0.55957764	0.20178278	0.004272448	0.052500002	79.0	5914.034400939941
42	7.2593985	4.6780353	9.0	-5.7	9.987469	7.640611	3.5348678	12.944893	-7.58401	172000	3.259629e-09	4.785062	-0.005752646	-0.6857386	0.17940193	0.007315249	0.03925	79.0	6068.947104215622
43	7.0688124	4.9119697	9.0	-5.8	9.881188	7.9134393	3.1332655	10.638368	-7.804971	176000	-7.450581e-09	5.3064966	-0.0053554215	-0.6989365	0.18020949	0.0017737102	0.046	79.0	6236.700856924057
44	7.422056	4.4955077	9.0	-5.8	9.989975	7.779497	3.417311	13.59338	-7.8237634	180000	1.1175871e-08	4.112503	-0.004508005	-0.7451485	0.17504238	0.012075949	0.06575	46.0	6381.047697544098
45	7.325187	4.631125	9.0	-5.8	9.915212	7.985851	3.200954	11.851306	-8.4275255	184000	3.7252903e-09	3.2180607	-0.0034324387	-0.49136636	0.1815334	0.008397471	0.04775	79.0	6516.807473897934
46	7.023193	4.8961415	9.0	-5.8	9.942643	7.683622	3.636524	12.18764	-8.949438	188000	1.5832484e-08	4.511672	-0.0050834445	-0.49278778	0.20643891	0.00681711	0.059999995	79.0	6651.140336036682
47	7.065013	4.91675	9.0	-5.8	9.870968	7.7171946	3.5354443	11.212119	-7.765125	192000	-9.313226e-09	4.1052213	-0.004366372	-0.6536858	0.19639608	0.01077312	0.057499997	79.0	6786.52202796936
48	7.0265512	4.9245744	9.0	-5.8	9.883374	7.6164217	3.7756102	12.437096	-8.627308	196000	0.0	4.292557	-0.0033099782	-0.5811218	0.1805709	0.012103604	0.03625	9.0	6920.915570020676
49	7.043035	4.9163456	9.0	-5.8	9.917911	7.812376	3.223157	10.750853	-7.153481	200000	-5.5879354e-09	4.737365	-0.005280358	-0.5349214	0.18747944	0.0031836207	0.061	79.0	7067.64296412468
50	7.28	4.670696	9.0	-5.8	9.95	7.7234735	3.569238	11.107959	-8.835813	204000	-3.7252903e-09	4.2074237	-0.0042027463	-0.72879523	0.18573508	0.005305607	0.038999997	79.0	7228.780638456345
51	7.2805004	4.677897	9.0	-5.9	9.945	7.8746057	3.290024	10.5662985	-6.9117656	208000	-1.1175871e-08	4.4379654	-0.0033942284	-0.48039117	0.17835715	0.01322216	0.053000003	11.0	7362.3907122612
52	7.115327	4.858706	9.0	-5.8	10.002513	7.8492594	3.4309323	12.363593	-7.0564218	212000	1.8626451e-09	3.2894645	-0.0027582939	-0.60947156	0.19467977	0.012205513	0.045500003	10.0	7495.024910211563
53	7.1476316	4.8027115	9.1	-5.8	9.945137	7.7159677	3.6374214	11.149045	-9.183398	216000	-1.3038516e-08	3.3032417	-0.005041227	-0.38464284	0.1923909	0.0047875107	0.04	79.0	7629.325168848038
54	6.876808	5.1197658	9.0	-5.8	9.910225	7.657215	3.7119114	14.022866	-8.488195	220000	5.5879354e-09	3.9435508	-0.005719834	-0.5622311	0.18105838	0.006867283	0.04975	79.0	7763.16055226326
